I (4295948) GATEWAY: Enviando START (Armando sensores)...

============================================
  >>> SENSOR 1 CONECTADO Y ARMADO <<< 
  (La grabacion empezara en 2 segundos...)
============================================


============================================
  >>> SENSOR 2 CONECTADO Y ARMADO <<< 
  (La grabacion empezara en 2 segundos...)
============================================


============================================
  >>> SENSOR 3 CONECTADO Y ARMADO <<< 
  (La grabacion empezara en 2 segundos...)
============================================

3,0,0,0.307,0.874,-0.164
3,0,10,0.300,0.835,-0.212
3,0,20,0.301,0.811,-0.211
3,0,30,0.305,0.800,-0.179
3,0,40,0.315,0.803,-0.156
3,0,50,0.307,0.819,-0.164
3,0,60,0.281,0.827,-0.192
3,0,70,0.240,0.874,-0.248
3,0,80,0.211,0.900,-0.244
3,0,90,0.182,0.922,-0.221
3,0,100,0.167,0.941,-0.211
3,0,110,0.145,0.941,-0.236
3,0,120,0.142,0.929,-0.269
3,0,130,0.130,0.897,-0.290
3,0,140,0.140,0.909,-0.157
3,0,150,0.172,0.924,-0.185
3,0,160,0.222,0.937,-0.198
3,0,170,0.261,0.950,-0.232
3,0,180,0.295,0.970,-0.322
3,0,190,0.346,1.018,-0.365
1,0,0,-0.147,0.991,-0.060
1,0,10,-0.144,1.000,-0.046
1,0,20,-0.155,0.996,-0.050
1,0,30,-0.048,0.868,-0.246
1,0,40,-0.030,0.883,-0.249
1,0,50,-0.011,0.907,-0.255
1,0,60,0.006,0.924,-0.236
1,0,70,0.011,0.935,-0.225
1,0,80,0.005,0.940,-0.227
1,0,90,-0.003,0.935,-0.233
1,0,100,-0.014,0.913,-0.231
1,0,110,-0.026,0.886,-0.233
1,0,120,-0.037,0.870,-0.229
1,0,130,-0.043,0.865,-0.219
1,0,140,-0.040,0.870,-0.199
1,0,150,-0.039,0.906,-0.208
1,0,160,-0.044,0.933,-0.190
1,0,170,-0.053,0.953,-0.178
1,0,180,-0.055,0.970,-0.180
1,0,190,-0.048,0.973,-0.173
3,1,200,0.345,1.084,-0.327
3,1,210,0.135,1.159,-0.137
3,1,220,-0.002,1.152,-0.099
3,1,230,-0.109,1.113,-0.098
3,1,240,-0.187,1.042,-0.111
3,1,250,-0.229,0.972,-0.134
3,1,260,-0.242,0.903,-0.151
